MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
1C028936;1C028936;ELEMENTO FILTRANTE AKP 15/30 G2                   ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C030570;1C030570;ELEMENTO FILTRANTE P-SRF C 05 20                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C030617;1C030617;ELEMENTO FILTRANTE SRF C 20/3 P2                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C030655;1C030655;ELEMENTO FILTRANTE SRF V 05/3 P9                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031041-25;1C031041-25;ELEM FILT P/GAS IND P-SM 15/30 25 M               ;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C031185;1C031185;ELEMENTO FILTRANTE P-FFP 05/25 ULTRAIR            ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031258;1C031258;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031420-01;1C031420-01;ELEMENTO FILTRANTE P-GSLN 05 20 1MIC EPDM         ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031634-14;1C031634-14;ELEMENTO P-GS 20/30 VE 1MIC 1852100               ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031651-14;1C031651-14;ELEM. FILT. GASES IND. - 11851391                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031656-14;1C031656-14;ELEM. FILT. GASES IND. - 11851590                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031657-14;1C031657-14;ELEM. FILT. GASES IND. - 11851591                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031742-01;1C031742-01;GS-AT 1MIC EPDM WITH WELDED ENDS                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031834-150;1C031834-150;ELEMENTO MFP 15/30 50385784                       ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031838;1C031838;ELEM FILT P/AR/GAS IND AKP 07/30                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031850;1C031850;ELEM FILTR P/AR/GAS IND SRFII 07/30               ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
